Title,Category,Year,Author_Status,Co_Authors,Publication_Venue,Volume_Issue_Pages,ISBN_DOI,URL,Description,Awards_Recognition,Performances_Count,Historical_Significance,Current_Status,Access_Status,Source,Additional_Notes
"Beyond Free Speech: Fostering Civic Engagement at the Intersection of Diversity and Expression",Articles,2019,Primary Author,,American Diversity Report and Society for Intercultural Education Training and Research e-zine,20 pages,,,"Fellowship research examining intersection of diversity and speech on U.S. college campuses",,,"UC National Center for Free Speech and Civic Engagement fellowship project",Published,Accessible,PDF file provided,"Adapted for publication in two electronic magazines"
"Renewing Multicultural Education: An Ancient Mariner's Manifesto",Articles,2025,Primary Author,,"Multicultural Perspectives, Volume 27 Issue 2, Pages 66-75",,10.1080/15210960.2025.2558492,https://doi.org/10.1080/15210960.2025.2558492,"Keynote address from 2024 National Association for Multicultural Education conference discussing three bad habits in multicultural education and how to renew the field",,,Adaptation of 2024 NAME conference keynote in Anaheim CA,Published,Accessible,PDF file provided,"Published online October 16 2025; addresses admiring the problem, lack of inclusivity/transparency, and linguistic madness"
"Chicanos Chapter",Articles,1973,Chapter Contributor,,"Teaching Ethnic Studies: Concepts and Strategies, edited by James A. Banks, National Council for the Social Studies",,,,Contribution to formative book on multicultural education,,,"Widely adopted for teacher training",Published,Not Directly Accessible,PDF reference and web search,"Important early work in multicultural education"
"Mexicans Entry",Articles,,,Primary Author,Harvard Encyclopedia,,,,Encyclopedia entry on Mexicans,,,Unknown,Unknown,Not Accessible,PDF reference,"Specific encyclopedia title not fully identified"
"Intercultural Humor Essay",Articles,2015,Contributing Essayist,,"The SAGE Encyclopedia of Intercultural Competence, edited by Janet M. Bennett, Sage Publications",,,,Essay on intercultural humor,,,Published in major reference work,Published,Not Directly Accessible,PDF reference,
"Media-Related Articles (50+ articles)",Articles,Various,Primary Author,,"Various publications, including Media & Values magazine (columnist)",,,,Articles on media treatment of diversity,,,Career spanning decades,Published,Not Accessible - Details Unknown,Multiple sources,"Individual titles and dates not available without magazine archives"
"Speech vs. Diversity Diversity vs. Speech",Blogs,,Primary Author,,American Diversity Report,,,,Monthly diversity-and-speech column,,,Part of ongoing series,Published,Not Directly Accessible,PDF reference,Part of numbered series
"Diversity vs. Free Speech Part 1: An Invented Conflict",Blogs,,Primary Author,,American Diversity Report,,,,Monthly diversity-and-speech column,,,Part of ongoing series,Published,Not Directly Accessible,PDF reference,
"Diversity and Speech Part 10: Harmful Speech 2070",Blogs,,Primary Author,,American Diversity Report,,,,Monthly diversity-and-speech column,,,Part of ongoing series,Published,Not Directly Accessible,PDF reference,
"Diversity and Speech Part 11: Dehumanizing Speech 2070",Blogs,,Primary Author,,American Diversity Report,,,,Monthly diversity-and-speech column,,,Part of ongoing series,Published,Not Directly Accessible,PDF reference,
"Diversity & Speech Part 15: English Language Learners",Blogs,,Primary Author,,American Diversity Report,,,,Monthly diversity-and-speech column,,,Part of ongoing series,Published,Not Directly Accessible,PDF reference,
"Diversity & Speech Part 16: Creating an Anti-Racism Vision Statement",Blogs,,Primary Author,,American Diversity Report,,,,Monthly diversity-and-speech column,,,Part of ongoing series,Published,Not Directly Accessible,PDF reference,
"Diversity and Speech #25: Growing Up Bi-Religious",Blogs,,Primary Author,,American Diversity Report,,,,Monthly diversity-and-speech column,,,Part of ongoing series,Published,Not Directly Accessible,PDF reference,
"Diversity and Speech No. 46: The Art of Turning 90",Blogs,,Primary Author,,American Diversity Report,,,,Monthly diversity-and-speech column,,,Part of ongoing series,Published,Not Directly Accessible,PDF reference,
"Renewing Diversity # 1: High School Ethnic Studies",Blogs,,Primary Author,,American Diversity Report,,,,Topic: California's Assembly Bill 101 (Medina Bill),,,First state to require high school ethnic studies,Published,Not Directly Accessible,PDF reference,
"Renewing Diversity #3: We Failed George Floyd",Blogs,,Primary Author,,American Diversity Report,,,,Response to George Floyd murder and racial justice,,,Part of ongoing series,Published,Not Directly Accessible,PDF reference,
"Renewing Diversity No. 4: A Sliver of Bone",Blogs,,Primary Author,,American Diversity Report,,,,Monthly diversity column,,,Part of ongoing series,Published,Not Directly Accessible,PDF reference,
"Renewing Diversity Part 9: Rediscovering My Professional Journey",Blogs,2025,Primary Author,,American Diversity Report,,,https://americandiversityreport.com/renewing-diversity-part-9-rediscovering-my-professional-journey-by-carlos-cortes/,Autobiographical reflection on professional career,,,Part of ongoing series,Published,Accessible,Direct URL provided,
"From Conditional to Equitable Inclusion: Inclusivity for a Stronger Nation",Blogs,,Primary Author,,American Diversity Report,,,,Article on equity and inclusion,,,Standalone article,Published,Not Directly Accessible,PDF reference,
"Cranky Old Man Carlos Blog",Blogs,Ongoing,Primary Author,,crankyoldmancarlos.com,,,https://crankyoldmancarlos.com,Personal blog maintained by Cortés,,,Active personal blog,Active,Partially Accessible - 403 Error,Attempted direct access,"Specific blog posts not accessible due to 403 error"
"Doctoral Dissertation on Brazilian Politics",Papers,Early 1970s,Primary Author,,"UC Riverside (assumed), Dissertation",,,,Research on Gaúcho politics in Rio Grande do Sul Brazil,,,Led to 1974 book publication,Published,Not Accessible,PDF reference and web search,Basis for award-winning book
"Video Journal of Education: Diversity in the Classroom",Videos,1994,Featured Presenter,,Video Journal of Education,,,,Educational training video on diversity in classroom settings,,,Widely used in teacher training,Published,Unknown Access,PDF reference,
"PBS Television: Why in the World?",Videos,,Guest Host,,PBS (national television),,,,Educational television series on comparative culture,,,National broadcast,Published,Unknown Access,PDF reference,
"Cruise Ship Lectures on Comparative Culture",Videos,Ongoing (post-1994),Lecturer,,Various cruise lines worldwide,160+ lectures (estimated),,,"Lectures on comparative culture, diversity, intercultural communication",,,Post-retirement activity,Ongoing,Not Accessible,PDF reference and web search,"Specific lecture titles and content not archived publicly"
"Campus Lectures and Presentations (160+ performances)",Videos,Peak years: 1970s-1990s,Presenter,,"Universities throughout US, Latin America, Europe, Asia, Australia, Canada","75-100 presentations annually during peak; nearly 160 performances of 'Conversation with Alana'",,,"Topics: race and ethnicity, multiculturalism, intercultural communication, diversity in media, multicultural/global/bilingual education, Hispanic culture, Latin American and Chicano history",,,Extensive national and international reach,Historical,Not Accessible - No Archives,PDF reference and web search,"Individual presentation titles and venues not systematically archived"
"YouTube Video ORrCLCZkJ_8",Videos,Unknown,Unknown,,YouTube,,,https://www.youtube.com/watch?v=ORrCLCZkJ_8,Unknown content - could be lecture or interview,,,Unknown,Unknown,Not Accessible - YouTube Not Available,User-provided URL,"Claude Code unable to access YouTube"
"A Conversation with Alana: One Boy's Multicultural Rite of Passage",Plays,2022 (book publication),Writer and Performer,,Bad Knee Press (book); performed at universities nationwide,Nearly 160 performances,,,One-person autobiographical play about growing up as son of Mexican Catholic immigrant father and American Jewish mother in post-WWII Kansas City,,,Widely performed theatrical work,Published (book) / Performed,Accessible (book),PDF reference and web search,"Features conversation with empty chair representing his daughter Alana"
"Scouts' Honor",Novels,2025,Primary Author,,Publisher unknown,,,,"Novel about death of Boy Scout Harry Vincent at Boy Scout Camp Matulia in southwestern Missouri",,,First novel by Cortés,Published,Accessible,UCR news announcement,"Launch events: Aug 31 2025 at Civil Rights Institute; Sep 20 2025 at Maloof Foundation"
"Rose Hill: An Intermarriage before Its Time",Biography/Memoir,2012,Primary Author (Autobiographical),,Publisher unknown,,1597141887,Amazon,Memoir about growing up in interracial interfaith family in Kansas City,,,Addresses navigating racial ethnic and religious fault lines,Published,Accessible,Web search and PDF reference,"Parents: Mexican Catholic immigrant father and American Jewish mother"
"Fourth Quarter: Reflections of a Cranky Old Man",Books - Poetry,2016,Primary Author,,Bad Knee Press,,,Amazon,First book of poetry reflecting on life as octogenarian,Honorable mention for best book of poetry in 2017 International Latino Book Awards,,Award-winning poetry collection,Published,Accessible,Web search and PDF reference,
"Gaúcho Politics in Brazil: The Politics of Rio Grande do Sul 1930-1964",Books - Scholarly,1974,Primary Author,,University of New Mexico Press (implied),,082630303X,Amazon (used),Scholarly monograph on regional Brazilian politics,Hubert Herring Memorial Award of Pacific Coast Council on Latin American Studies,,Based on doctoral dissertation,Published,Accessible,Web search and PDF reference,
"The Children Are Watching: How the Media Teach about Diversity",Books - Scholarly,2000,Primary Author,,Teachers College Press New York,,0807739375,Amazon,Analysis of how media educate about diversity issues,,,Influential book widely cited in diversity education field,Published,Accessible,Web search and PDF reference,"Culmination of research specialty in media treatment of diversity"
"The Making — and Remaking — of a Multiculturalist",Books - Scholarly,2002,Primary Author,,Teachers College Press,,0807742511,Amazon,Autobiographical exploration of development as multiculturalist,,,Important contribution to educational literature,Published,Accessible,Web search,Personal and professional journey in multicultural education
"Three Perspectives on Ethnicity: Blacks Chicanos and Native Americans",Books - Scholarly,1976,Primary Author,,G.P. Putnam's Sons,,0399503692,Amazon (used),Comparative examination of ethnicity from perspectives of three major American ethnic groups,,,Academic work in comparative ethnic studies,Published,Accessible,Web search,
"Beyond Language: Social and Cultural Factors in Schooling Language Minority Students",Books - Scholarly,1980s (estimated),Author or Contributor,,Publisher unknown,,0897550242,Amazon,Book on bilingual/multicultural education and language minority students,,,Important work in bilingual education,Published,Accessible,Web search,
"Multicultural America: A Multimedia Encyclopedia",Books - Edited Works,2013,General Editor/Lead Editor,,Sage Publications Thousand Oaks CA,Four volumes,,,Comprehensive multimedia encyclopedia on historical and contemporary multicultural America issues,,,Major reference work in multicultural studies,Published,Accessible,PDF reference and web search,"Described as capturing 'part of the diversity movement but only part'"
"Hispanics in the United States Series",Books - Edited Works,1980,Series Editor,,Arno Press New York,30 volumes,,,Comprehensive series on Hispanic experiences in United States,,,Major reference series,Published,Accessible,Web search,"Individual volume 'Cuban Refugee Programs' included in series"
"Houghton Mifflin Social Studies Textbooks",Books - Textbook Contributions,,Co-author,,Houghton Mifflin,,,,Contributed to social studies textbook development,,,Widely used in schools,Published,Unknown Access,PDF reference,
"McDougal Littell Social Studies Textbooks",Books - Textbook Contributions,,Senior Consultant,,McDougal Littell,,,,Served as senior consultant for social studies curriculum,,,Widely used in schools,Published,Unknown Access,PDF reference,
"DreamWorks Animation: Puss in Boots The Last Wish",Consulting Projects,2022,Cultural Consultant,,DreamWorks Animation,,,,Cultural consulting for animated feature film,,,Major studio animation project,Released,Not Accessible - Consulting Work,Web search,
"Nickelodeon: Dora the Explorer",Consulting Projects,Multiple seasons,Creative/Cultural Advisor,,Nickelodeon Productions,,,,Cultural and creative consultation for children's television series,2009 NAACP Image Award for Creative/Cultural Advisory work,,Long-running series,Aired,Not Accessible - Consulting Work,PDF reference and web search,
"Nickelodeon: Go Diego Go!",Consulting Projects,Multiple seasons,Creative/Cultural Advisor,,Nickelodeon Productions,,,,Cultural and creative consultation for children's television series,2009 NAACP Image Award for Creative/Cultural Advisory work,,Spin-off of Dora the Explorer,Aired,Not Accessible - Consulting Work,PDF reference and web search,
"Speech vs. Diversity Diversity vs. Speech (Book)",Books - In Progress,In Progress,Primary Author,,Publisher TBD,,,,Book on intersection of diversity and speech over fifty years,,,Related to fellowship research,In Progress,Not Yet Published,PDF reference,Work in progress as of sources checked
"Renewing Diversity #2: Teaching Health Equity",Co-Authored Works,Unknown,Co-author,Adwoa Osei,American Diversity Report,,,,Article on health equity in education,,,Collaborative work,Published,Not Directly Accessible,PDF reference,
"UCR Diversity Graduation Requirement",Curriculum Development,1970s,Primary Drafter,,"UC Riverside, College of Humanities and Social Sciences",,,,Drafted first diversity graduation requirement for UCR,,,Precursor to diversity requirements at one-third of US colleges,Adopted,Not Accessible - Administrative Document,PDF reference,"Adopted by narrow faculty vote margin"
"UCR Chicano History Class",Curriculum Development,January 1970,Course Developer,,University of California Riverside,,,,Introduced and taught UCR's first Chicano History class,,,Among early Chicano Studies courses in UC system,Taught,Not Accessible - Historical Course,PDF reference,
"Health Equity Social Justice and Anti-Racism Curriculum",Curriculum Development,Current (2025),Co-director,,UC Riverside School of Medicine,,,,Health equity education curriculum for medical students,,,Current ongoing project,Active,Not Accessible - Curriculum Materials,Web search and PDF reference,Co-director position
"California Textbook Evaluation Task Force",Administrative Work,Fall 1971,Task Force Member,,California State Education Department,,,,Served on California's first statewide task force evaluating ethnic content in social studies textbooks,,,Early work in multicultural curriculum standards,Completed,Not Accessible - Government Archive,PDF reference,State-level educational initiative
"Teaching Diversity Course",Teaching Materials,Past 25 years,Faculty/Instructor,Louise Wilkinson (co-instructor),Summer Institute for Intercultural Communication,Five-day course,,,Advanced professional development course comparing inclusionist and intercultural approaches to diversity,,,Ongoing annual course,Active,Not Accessible - Course Materials,PDF reference,
"Medical Cultural Competence Workshops",Teaching Materials,Ongoing,Workshop Facilitator,,Various healthcare settings,,,,Workshops on cultural competence in healthcare,,,Professional development for medical professionals,Ongoing,Not Accessible - Workshop Materials,PDF reference,
"Inclusive Diversity and Abundant Speech: An Intersection of Values at Aspirational University (Simulation)",Teaching Materials,2018-present,Creator,,"UCSD (May 2018), U Maryland College Park Civicus (Sep 2018), Summer Institute for Intercultural Communication",Used dozen times,,,Educational simulation for civic engagement around diversity-speech intersection,,,Active teaching tool,Active,Not Accessible - Teaching Materials,PDF reference,"Participants establish campus regulations from scratch"
"Suggested Basic Curriculum Principles for Ethnic Studies",Curriculum Development,2021,Primary Author,,California State Board of Education,12 pages,,,Proposed set of basic principles for high school Ethnic Studies curriculum,,"Helped break logjam and pass Medina Bill","Eight principles adapted into outcomes on pages 16-20 of final Model Curriculum adopted March 2021",Published,Not Accessible - Government Document,Web search,"Drew on years of involvement in college ethnic studies; helped California become first state to require high school ethnic studies"
"City of Riverside Anti-Racism Vision Statement",Curriculum Development,2020,Coordinator/Primary Author,,"City of Riverside, Mayor's Multicultural Forum",2 pages,,,Two-page vision statement on anti-racism for City of Riverside,,"Featured in Los Angeles Times with headline 'Riverside seeks a racial reckoning'","Adopted 6-1 by Riverside City Council October 20 2020",Published,Not Accessible - Government Document,Web search and PDF reference,"Created through Mayor's Multicultural Forum; used community-based approach"
"Building a More Inclusive Riverside Community Statement",Administrative Work,2001,Coordinator/Primary Author,,"City of Riverside, Mayor's Multicultural Forum",,,,Inclusive community statement for City of Riverside,,,Adopted by Mayor's Multicultural Forum June 2001,Published,Not Accessible - Government Document,Web search,"Created through Mayor's Multicultural Forum"
"Los Angeles Review of Books Articles",Articles,Various,Contributor,,Los Angeles Review of Books,,,https://lareviewofbooks.org/contributor/carlos-e-cortes/,Articles on free speech and diversity topics,,,"Multiple articles published; specific titles not identified in search",Published,Partially Accessible,Web search,"Contributor page exists; specific article titles require direct access to LARB site"
"Carlos E. Cortés Diversity and Inclusion Award",Administrative Work,2016,Honoree,,City of Riverside,,,,Annual award established by City of Riverside to honor resident contributions to diversity,Named in honor of Carlos E. Cortés,,"First award of its kind in Riverside",Established,Public Knowledge,Web search,"Given annually to Riverside resident who has made major local contributions to diversity"
